lsoa11cd,measure,value
E01010109,2008,367
E01010110,2008,350
E01010111,2008,261
E01010112,2008,242
E01010113,2008,325
E01010114,2008,501
E01010115,2008,349
E01010116,2008,286
E01010117,2008,324
E01010118,2008,278
E01010119,2008,483
E01010120,2008,283
E01010121,2008,486
E01010122,2008,473
E01010123,2008,404
E01010124,2008,482
E01010125,2008,345
E01010126,2008,292
E01010127,2008,274
E01010128,2008,331
E01010129,2008,317
E01010130,2008,360
E01010131,2008,268
E01010132,2008,417
E01010133,2008,590
E01010134,2008,406
E01010135,2008,428
E01010136,2008,282
E01010137,2008,400
E01010138,2008,363
E01010139,2008,294
E01010140,2008,293
E01010141,2008,166
E01010142,2008,254
E01010143,2008,308
E01010144,2008,373
E01010145,2008,439
E01010146,2008,285
E01010147,2008,160
E01010148,2008,247
E01010149,2008,356
E01010150,2008,473
E01010151,2008,548
E01010152,2008,316
E01010153,2008,459
E01010154,2008,549
E01010155,2008,511
E01010156,2008,434
E01010157,2008,269
E01010158,2008,402
E01010159,2008,283
E01010160,2008,390
E01010161,2008,397
E01010162,2008,407
E01010163,2008,298
E01010164,2008,497
E01010165,2008,496
E01010166,2008,458
E01010167,2008,388
E01010168,2008,414
E01010169,2008,488
E01010170,2008,300
E01010171,2008,321
E01010172,2008,367
E01010173,2008,343
E01010174,2008,358
E01010175,2008,473
E01010176,2008,353
E01010177,2008,358
E01010178,2008,557
E01010179,2008,581
E01010180,2008,302
E01010181,2008,339
E01010183,2008,351
E01010184,2008,356
E01010185,2008,463
E01010186,2008,419
E01010187,2008,222
E01010188,2008,550
E01010189,2008,386
E01010190,2008,335
E01010191,2008,514
E01010192,2008,421
E01010193,2008,224
E01010194,2008,281
E01010195,2008,439
E01010196,2008,492
E01010197,2008,494
E01010198,2008,518
E01010199,2008,486
E01010200,2008,513
E01010201,2008,401
E01010202,2008,406
E01010203,2008,443
E01010204,2008,273
E01010205,2008,339
E01010206,2008,349
E01010207,2008,378
E01010208,2008,469
E01010209,2008,377
E01010210,2008,476
E01010211,2008,507
E01010212,2008,279
E01010213,2008,395
E01010214,2008,295
E01010215,2008,352
E01010216,2008,225
E01010217,2008,416
E01010218,2008,479
E01010219,2008,443
E01010220,2008,330
E01010221,2008,445
E01010222,2008,373
E01010223,2008,247
E01010225,2008,269
E01010226,2008,699
E01010227,2008,595
E01010228,2008,374
E01010229,2008,437
E01010230,2008,491
E01010231,2008,514
E01010232,2008,357
E01010233,2008,386
E01010234,2008,297
E01010235,2008,220
E01010236,2008,244
E01010237,2008,426
E01010238,2008,258
E01010239,2008,304
E01010240,2008,275
E01010241,2008,716
E01010242,2008,473
E01010243,2008,579
E01010244,2008,307
E01010245,2008,544
E01010246,2008,388
E01010247,2008,563
E01010248,2008,506
E01010249,2008,260
E01010250,2008,464
E01010251,2008,246
E01010252,2008,418
E01010253,2008,380
E01010254,2008,351
E01010255,2008,538
E01010256,2008,397
E01010257,2008,405
E01010258,2008,327
E01010259,2008,464
E01010260,2008,404
E01010261,2008,232
E01010262,2008,250
E01010263,2008,191
E01010264,2008,364
E01010265,2008,211
E01010266,2008,214
E01010267,2008,334
E01010268,2008,201
E01010269,2008,130
E01010270,2008,330
E01010271,2008,231
E01010272,2008,315
E01010273,2008,292
E01010274,2008,292
E01010275,2008,356
E01010277,2008,321
E01010279,2008,302
E01010282,2008,211
E01010283,2008,245
E01010284,2008,378
E01010285,2008,566
E01010286,2008,337
E01010287,2008,525
E01010288,2008,366
E01010289,2008,320
E01010290,2008,572
E01010291,2008,320
E01010292,2008,386
E01010293,2008,437
E01010294,2008,343
E01010295,2008,340
E01010296,2008,186
E01010297,2008,437
E01010298,2008,269
E01010299,2008,299
E01010300,2008,351
E01010301,2008,324
E01010302,2008,393
E01010303,2008,384
E01010304,2008,524
E01010305,2008,331
E01010306,2008,322
E01010307,2008,250
E01010308,2008,353
E01010309,2008,272
E01010310,2008,299
E01010311,2008,335
E01010312,2008,322
E01010313,2008,312
E01010314,2008,398
E01010315,2008,272
E01010316,2008,293
E01010317,2008,537
E01010318,2008,301
E01010319,2008,217
E01010320,2008,355
E01010321,2008,369
E01010322,2008,369
E01010323,2008,424
E01010324,2008,350
E01010325,2008,341
E01010326,2008,349
E01010327,2008,154
E01010328,2008,433
E01010329,2008,483
E01010330,2008,305
E01010331,2008,575
E01010332,2008,493
E01010333,2008,489
E01010334,2008,456
E01010335,2008,212
E01010336,2008,264
E01010337,2008,299
E01010338,2008,306
E01010339,2008,327
E01010340,2008,216
E01010341,2008,189
E01010342,2008,165
E01010343,2008,182
E01010344,2008,282
E01010345,2008,393
E01010346,2008,310
