lsoa11cd,n_tot,cluster,cluster_prop
E01008989,206,3,0.0825242718446602
E01008989,206,4,0.06796116504854369
E01008989,206,5,0.12135922330097088
E01008989,206,6,0.18446601941747573
E01008990,186,1,0.5376344086021505
E01008990,186,2,0.23655913978494625
E01008990,186,3,0.08064516129032258
E01008990,186,4,0.06451612903225806
E01008990,186,6,0.08064516129032258
E01008991,332,1,0.5933734939759037
E01008991,332,2,0.28012048192771083
E01008991,332,3,0.0391566265060241
E01008991,332,4,0.03313253012048193
E01008991,332,6,0.05421686746987952
E01008992,172,1,0.6627906976744186
E01008992,172,2,0.19767441860465115
E01008992,172,4,0.06976744186046512
E01008992,172,6,0.06976744186046512
E01008994,213,1,0.5211267605633803
E01008994,213,2,0.18779342723004694
E01008994,213,3,0.07042253521126761
E01008994,213,4,0.07042253521126761
E01008994,213,5,0.06103286384976526
E01008994,213,6,0.0892018779342723
E01008995,167,1,0.2994011976047904
E01008995,167,2,0.07784431137724551
E01008995,167,3,0.12574850299401197
E01008995,167,4,0.07784431137724551
E01008995,167,5,0.11377245508982035
E01008995,167,6,0.30538922155688625
E01008996,175,1,0.3028571428571429
E01008996,175,2,0.12
E01008996,175,4,0.10857142857142857
E01008996,175,5,0.10857142857142857
E01008996,175,6,0.36
E01008997,212,1,0.5283018867924528
E01008997,212,2,0.18396226415094338
E01008997,212,3,0.08962264150943396
E01008997,212,4,0.05660377358490566
E01008997,212,6,0.14150943396226415
E01008998,164,1,0.4695121951219512
E01008998,164,2,0.08536585365853659
E01008998,164,3,0.08536585365853659
E01008998,164,4,0.08536585365853659
E01008998,164,5,0.07317073170731707
E01008998,164,6,0.20121951219512196
E01008999,174,1,0.6091954022988506
E01008999,174,2,0.10919540229885058
E01008999,174,3,0.08620689655172414
E01008999,174,5,0.06321839080459771
E01008999,174,6,0.13218390804597702
E01009000,163,1,0.5337423312883436
E01009000,163,2,0.0736196319018405
E01009000,163,3,0.08588957055214724
E01009000,163,5,0.0736196319018405
E01009000,163,6,0.2331288343558282
E01009001,236,1,0.5296610169491526
E01009001,236,2,0.1694915254237288
E01009001,236,3,0.07203389830508475
E01009001,236,4,0.05508474576271186
E01009001,236,6,0.17372881355932204
E01009002,149,1,0.4899328859060403
E01009002,149,2,0.12080536912751678
E01009002,149,3,0.09395973154362416
E01009002,149,4,0.08053691275167785
E01009002,149,6,0.21476510067114093
E01009003,253,1,0.541501976284585
E01009003,253,2,0.17391304347826086
E01009003,253,3,0.1225296442687747
E01009003,253,4,0.06719367588932806
E01009003,253,6,0.09486166007905138
E01009005,207,1,0.5748792270531401
E01009005,207,2,0.1111111111111111
E01009005,207,3,0.06280193236714976
E01009005,207,5,0.09178743961352658
E01009005,207,6,0.15942028985507245
E01009006,149,1,0.6174496644295302
E01009006,149,2,0.10067114093959731
E01009006,149,3,0.12751677852348994
E01009006,149,6,0.15436241610738255
E01009007,143,1,0.4825174825174825
E01009007,143,2,0.13286713286713286
E01009007,143,3,0.13286713286713286
E01009007,143,4,0.1258741258741259
E01009007,143,6,0.1258741258741259
E01009008,290,1,0.6689655172413793
E01009008,290,2,0.12758620689655173
E01009008,290,3,0.06551724137931035
E01009008,290,4,0.04482758620689655
E01009008,290,6,0.09310344827586207
E01009009,251,1,0.6454183266932271
E01009009,251,2,0.11952191235059761
E01009009,251,3,0.05179282868525897
E01009009,251,4,0.055776892430278883
E01009009,251,5,0.04780876494023904
E01009009,251,6,0.0796812749003984
E01009011,328,1,0.49085365853658536
E01009011,328,2,0.15548780487804878
E01009011,328,3,0.0701219512195122
E01009011,328,4,0.07621951219512195
E01009011,328,5,0.07621951219512195
E01009011,328,6,0.13109756097560976
E01009012,188,1,0.6808510638297872
E01009012,188,2,0.13297872340425532
E01009012,188,3,0.10106382978723404
E01009012,188,6,0.0851063829787234
E01009013,175,1,0.5085714285714286
E01009013,175,2,0.11428571428571428
E01009013,175,3,0.13142857142857142
E01009013,175,4,0.06285714285714286
E01009013,175,5,0.07428571428571429
E01009013,175,6,0.10857142857142857
E01009014,147,1,0.6122448979591837
E01009014,147,2,0.10884353741496598
E01009014,147,3,0.08843537414965986
E01009014,147,6,0.19047619047619047
E01009015,264,1,0.4621212121212121
E01009015,264,2,0.1553030303030303
E01009015,264,3,0.10227272727272728
E01009015,264,4,0.09848484848484848
E01009015,264,5,0.06060606060606061
E01009015,264,6,0.12121212121212122
E01009016,275,1,0.4727272727272727
E01009016,275,2,0.05454545454545454
E01009016,275,3,0.08363636363636363
E01009016,275,4,0.14181818181818182
E01009016,275,5,0.05454545454545454
E01009016,275,6,0.19272727272727272
E01009017,178,1,0.42134831460674155
E01009017,178,2,0.10674157303370786
E01009017,178,3,0.10674157303370786
E01009017,178,4,0.0898876404494382
E01009017,178,5,0.0898876404494382
E01009017,178,6,0.1853932584269663
E01009018,261,1,0.45977011494252873
E01009018,261,2,0.20689655172413793
E01009018,261,3,0.06513409961685823
E01009018,261,4,0.07279693486590039
E01009018,261,5,0.06513409961685823
E01009018,261,6,0.13026819923371646
E01009019,150,1,0.5133333333333333
E01009019,150,2,0.09333333333333334
E01009019,150,3,0.09333333333333334
E01009019,150,4,0.07333333333333333
E01009019,150,6,0.22666666666666666
E01009020,169,1,0.47337278106508873
E01009020,169,2,0.14792899408284024
E01009020,169,3,0.07100591715976332
E01009020,169,4,0.08875739644970414
E01009020,169,5,0.0650887573964497
E01009020,169,6,0.15384615384615385
E01009021,142,1,0.47183098591549294
E01009021,142,2,0.19718309859154928
E01009021,142,3,0.1056338028169014
E01009021,142,4,0.07746478873239436
E01009021,142,6,0.14788732394366197
E01009022,168,1,0.5357142857142857
E01009022,168,2,0.17261904761904762
E01009022,168,4,0.11904761904761904
E01009022,168,5,0.06547619047619048
E01009022,168,6,0.10714285714285714
E01009023,217,1,0.5714285714285714
E01009023,217,2,0.1336405529953917
E01009023,217,3,0.06912442396313365
E01009023,217,4,0.07834101382488479
E01009023,217,5,0.06451612903225806
E01009023,217,6,0.08294930875576037
E01009024,141,1,0.475177304964539
E01009024,141,3,0.0851063829787234
E01009024,141,4,0.09929078014184398
E01009024,141,5,0.11347517730496454
E01009024,141,6,0.22695035460992907
E01009025,137,1,0.5182481751824818
E01009025,137,2,0.0948905109489051
E01009025,137,3,0.0948905109489051
E01009025,137,4,0.0948905109489051
E01009025,137,6,0.19708029197080293
E01009026,144,1,0.3472222222222222
E01009026,144,2,0.10416666666666667
E01009026,144,3,0.09722222222222222
E01009026,144,4,0.125
E01009026,144,5,0.0763888888888889
E01009026,144,6,0.25
E01009028,149,1,0.40268456375838924
E01009028,149,2,0.10738255033557047
E01009028,149,3,0.10738255033557047
E01009028,149,4,0.11409395973154363
E01009028,149,5,0.08053691275167785
E01009028,149,6,0.18791946308724833
E01009029,125,1,0.504
E01009029,125,2,0.112
E01009029,125,3,0.152
E01009029,125,4,0.112
E01009029,125,6,0.12
E01009030,203,1,0.42857142857142855
E01009030,203,2,0.13793103448275862
E01009030,203,3,0.10837438423645321
E01009030,203,4,0.09359605911330049
E01009030,203,5,0.06896551724137931
E01009030,203,6,0.1625615763546798
E01009031,282,1,0.5531914893617021
E01009031,282,2,0.1702127659574468
E01009031,282,3,0.08865248226950355
E01009031,282,4,0.04609929078014184
E01009031,282,5,0.06028368794326241
E01009031,282,6,0.08156028368794327
E01009032,222,1,0.6216216216216216
E01009032,222,2,0.16666666666666666
E01009032,222,3,0.11261261261261261
E01009032,222,6,0.0990990990990991
E01009033,113,1,0.5752212389380531
E01009033,113,4,0.1415929203539823
E01009033,113,6,0.2831858407079646
E01009034,242,1,0.5082644628099173
E01009034,242,2,0.15289256198347106
E01009034,242,3,0.11570247933884298
E01009034,242,4,0.06611570247933884
E01009034,242,5,0.045454545454545456
E01009034,242,6,0.1115702479338843
E01009035,253,1,0.5573122529644269
E01009035,253,2,0.13438735177865613
E01009035,253,3,0.08300395256916997
E01009035,253,4,0.05138339920948617
E01009035,253,5,0.07114624505928854
E01009035,253,6,0.10276679841897234
E01009036,277,1,0.5451263537906137
E01009036,277,2,0.16967509025270758
E01009036,277,3,0.11552346570397112
E01009036,277,4,0.07220216606498195
E01009036,277,6,0.09747292418772563
E01009037,364,1,0.6428571428571429
E01009037,364,2,0.10714285714285714
E01009037,364,3,0.08516483516483517
E01009037,364,4,0.06593406593406594
E01009037,364,5,0.03021978021978022
E01009037,364,6,0.06868131868131869
E01009039,282,1,0.6170212765957447
E01009039,282,2,0.1773049645390071
E01009039,282,3,0.07446808510638298
E01009039,282,4,0.05673758865248227
E01009039,282,6,0.07446808510638298
E01009040,245,1,0.7020408163265306
E01009040,245,2,0.1673469387755102
E01009040,245,3,0.0653061224489796
E01009040,245,6,0.0653061224489796
E01009041,217,1,0.6175115207373272
E01009041,217,2,0.15207373271889402
E01009041,217,3,0.0967741935483871
E01009041,217,5,0.059907834101382486
E01009041,217,6,0.07373271889400922
E01009042,176,1,0.5625
E01009042,176,2,0.14772727272727273
E01009042,176,3,0.07386363636363637
E01009042,176,4,0.07954545454545454
E01009042,176,5,0.06818181818181818
E01009042,176,6,0.06818181818181818
E01009043,209,1,0.45933014354066987
E01009043,209,2,0.1339712918660287
E01009043,209,3,0.0861244019138756
E01009043,209,4,0.11961722488038277
E01009043,209,5,0.05263157894736842
E01009043,209,6,0.14832535885167464
E01009044,128,1,0.453125
E01009044,128,2,0.1484375
E01009044,128,3,0.09375
E01009044,128,5,0.0859375
E01009044,128,6,0.21875
E01009045,263,1,0.4448669201520912
E01009045,263,2,0.17110266159695817
E01009045,263,3,0.08365019011406843
